test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,10.429165278704604,0.0330342191125954,10.183364789002,0.2127662705900093,3235355.52
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.843114987841108,0.9636503174196692,3.653983856381428,0.2254808140400109,866555.7
4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.8374058058415537,0.0223810086393494,1.5972554566022157,0.2177693405999889,129724.38
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,6.958426445777877,0.0522657899372278,6.692912071810656,0.2132485840299932,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.9693428486486666,0.3011428595992038,3.4768325139694665,0.1913674750799964,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.32302480039536,0.385473568429588,3.753499912255748,0.1840513197100244,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.401574599320884,0.4763367494725385,3.7513023951783455,0.1739354546699996,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.399426449442399,0.5335369740717582,2.697968580060642,0.1679208953099987,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.471330530781416,0.6191253563214558,2.6957812181900045,0.1564239562699549,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.570629772043904,0.7341366102040046,2.6928311772998588,0.14366198454004,519168.0
5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.667413199670845,0.8448694104613965,2.691827337699415,0.1307164515100339,519168.0
5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.8294432071986377,1.0180913167406107,2.692487084838094,0.1188648056199326,519168.0
5.0,250.0,248.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.0543313017993934,1.169387521277531,1.7754716037317668,0.1094721767900955,184320.0
5.0,250.0,279.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.5125817603478207,1.3322263568552444,2.0830588846025235,0.0972965188900525,294912.0
6.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.71013075211842,0.3679393279890064,4.120013306399469,0.2221781177299453,1035050.41
