test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
7.0,250.0,63.0,0.535202380952381,0.72,0.84,0.5822784992784993,0.535202380952381,0.5536895209135633,2.4754241884400834,0.4021901920158415,1.893552989514239,0.179681006910003,225792.0
7.0,250.0,86.0,0.465297619047619,0.69,0.79,0.5777777777777778,0.465297619047619,0.5033126663266285,2.561441571660107,0.4872755262372084,1.8966309678028936,0.1775350776200048,225792.0
7.0,250.0,100.0,0.372595238095238,0.61,0.68,0.4837777777777777,0.372595238095238,0.4934258212252587,2.4014483774779363,0.5912371172441633,1.6372123313037776,0.1729989289299953,129792.0
7.0,250.0,132.0,0.547297619047619,0.76,0.85,0.572058608058608,0.547297619047619,0.5631411916781118,2.514092019192176,0.7215373125713087,1.640036630180864,0.1525180764400033,129792.0
7.0,250.0,164.0,0.5349880952380952,0.76,0.85,0.5808646908646908,0.5349880952380952,0.5515388883181425,2.647262664380833,0.8606379982543877,1.6374724380064616,0.1491522281199832,129792.0
7.0,250.0,196.0,0.5284642857142857,0.76,0.84,0.5920763125763125,0.5284642857142857,0.5409646736494486,2.779562886898639,1.0133743933105144,1.638823598538106,0.1273648950500182,129792.0
7.0,250.0,228.0,0.5310357142857143,0.77,0.85,0.5923344155844156,0.5310357142857143,0.5441527117949112,2.8979623538424493,1.1363714262028224,1.6479185976596455,0.1136723299799814,129792.0
7.0,250.0,248.0,0.4451190476190476,0.7,0.78,0.6164404761904761,0.4451190476190476,0.5333586165024665,2.734448989041848,1.3196776415908242,1.3102240463810313,0.1045473010699925,46080.0
7.0,250.0,279.0,0.3891904761904762,0.65,0.71,0.5776839826839827,0.3891904761904762,0.5004885569182824,2.904531687286217,1.415251887763734,1.390498888102493,0.0987809114199899,73728.0
8.0,250.0,3.0,0.5641309523809525,0.75,0.86,0.5898452380952381,0.5641309523809525,0.5184380828714172,1.5974790726025825,0.1086672361177625,1.271992461834816,0.2168193746500037,48514.85
8.0,250.0,40.0,0.5553690476190476,0.79,0.86,0.5913293650793651,0.5553690476190476,0.5324626161743814,1.6974483095918549,0.3822821512428345,1.1193427429490113,0.1958234154000092,37186.75
8.0,250.0,63.0,0.535202380952381,0.72,0.84,0.5822784992784993,0.535202380952381,0.5536895209135633,1.822835582433617,0.5039189102628734,1.1358283616507017,0.1830883105200428,38682.44
8.0,250.0,86.0,0.465297619047619,0.69,0.79,0.5777777777777778,0.465297619047619,0.5033126663266285,1.8832053027924849,0.6130194280558499,1.088016061166636,0.1821698135699989,29215.23
8.0,250.0,100.0,0.372595238095238,0.61,0.68,0.4837777777777777,0.372595238095238,0.4934258212252587,1.9361142942699368,0.6999222048901721,1.0607376868497522,0.1754544025300128,21453.24
8.0,250.0,132.0,0.547297619047619,0.76,0.85,0.572058608058608,0.547297619047619,0.5631411916781118,1.8009243438777047,0.8281149658077629,0.8207028579299822,0.1521065201399596,12461.16
8.0,250.0,164.0,0.5349880952380952,0.76,0.85,0.5808646908646908,0.5349880952380952,0.5515388883181425,1.9399925992632048,0.9736920625780476,0.8186655111052005,0.147635025579957,12147.17
8.0,250.0,196.0,0.5284642857142857,0.76,0.84,0.5920763125763125,0.5284642857142857,0.5409646736494486,2.067334216809832,1.1197017144295387,0.8186066219402528,0.12902588044004,11389.98
8.0,250.0,228.0,0.5310357142857143,0.77,0.85,0.5923344155844156,0.5310357142857143,0.5441527117949112,2.191426068499568,1.2823177937924632,0.7948518328970567,0.1142564418100482,4065.58
8.0,250.0,248.0,0.4451190476190476,0.7,0.78,0.6164404761904761,0.4451190476190476,0.5333586165024665,2.30686817509064,1.4061191951524237,0.7947491368182545,0.1059998431199619,3595.87
8.0,250.0,279.0,0.3891904761904762,0.65,0.71,0.5776839826839827,0.3891904761904762,0.5004885569182824,2.414081836271216,1.5175729071669048,0.7956475561142724,0.10086137299003894,2781.32
