test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,7.167879504046287,0.033980327299214,6.921529737637047,0.2123694391100252,3235355.52
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,4.109991326968884,0.9618074620299736,2.922801147368955,0.2253827175699553,866555.7
4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.8487363628298044,0.0230077191023154,1.6075350745073955,0.2181935692200932,129724.38
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,5.022561379939434,0.0559685456001899,4.75320161343925,0.2133912208999936,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.319410006481921,0.3026858766697113,2.8220877093821763,0.1946364204300334,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.5641941484838027,0.3915257727529391,2.9879381904908766,0.1847301852399868,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.626921407524496,0.4782086463028099,2.974576734831571,0.1741360263901151,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.039453451821464,0.5269683291524419,2.3454993025490327,0.1669858201199895,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.121836190476897,0.6246921454468972,2.341823041769985,0.1553210032600145,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.250964463519631,0.7740845975204138,2.332933969469268,0.1439458965299491,519168.0
5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.3500659442448524,0.90594364514458,2.314003702800146,0.1301185963001262,519168.0
5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.5102530971489614,1.0747553019371114,2.318589844241888,0.1169079509699622,519168.0
5.0,250.0,248.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.065387334242696,1.2644797649228714,1.6917690957098603,0.1091384736099644,184320.0
5.0,250.0,279.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.406217969362624,1.3614940000406932,1.949020607121965,0.0957033621999653,294912.0
6.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.753379318469088,0.3679838930402184,3.165827449528897,0.2195679758999722,1035050.41
6.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.760476692300872,0.4276103183592203,2.1389445312817226,0.1939218426599291,411831.22
6.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.875259841990774,0.5151108617236608,2.1730020230971787,0.1871469571699344,430245.92
