,test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload,nw_speed
0,1.0,100.0,3.0,0.108845238,0.22,0.26,0.1835,0.108845238,0.06169069,1.257481218,1.257475013,6.2e-06,0.0,0.0,0
1,1.0,150.0,3.0,0.577119048,0.65,0.84,0.390211039,0.577119048,0.425219841,1.452164759,1.452158603,6.16e-06,0.0,0.0,0
2,1.0,200.0,3.0,0.586988095,0.68,0.87,0.457308726,0.586988095,0.257689302,1.920791447,1.920784755,6.69e-06,0.0,0.0,0
3,1.0,250.0,3.0,0.590559524,0.79,0.9,0.610875458,0.590559524,0.436462454,2.470035347,2.470028817,6.53e-06,0.0,0.0,0
4,1.0,300.0,3.0,0.488119048,0.77,0.83,0.652166667,0.488119048,0.542526183,3.401496,3.401488559,7.44e-06,0.0,0.0,0
5,1.0,350.0,3.0,0.394595238,0.72,0.73,0.647690476,0.394595238,0.494559083,4.352503983,4.352496949,7.03e-06,0.0,0.0,0
6,1.0,400.0,3.0,0.385416667,0.73,0.74,0.664333333,0.385416667,0.480426268,5.373159914,5.373151939,7.97e-06,0.0,0.0,0
0,2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.5632700927509,0.0324319727218243,3.316298649759847,0.2145394702692283,3235355.52,1
1,3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.4726895648177014,0.9592349370574812,2.2870191912910376,0.2264354364691826,866555.7,1
2,4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.7814964853419224,0.0240322122251381,1.5369413031170551,0.2205229699997289,129724.38,1
3,5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.047873482511496,0.0516077433398458,2.7826401780417656,0.2136255611298838,1968128.0,1
4,5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.7272464321693404,0.2902751141408224,2.2462448145484086,0.1907265034801094,802816.0,1
5,5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.9316639707138528,0.3849123824323759,2.362834020071459,0.1839175682100176,903168.0,1
6,5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.007405269751908,0.4741918800398705,2.357148572011211,0.1760648177008261,903168.0,1
7,5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.826559783910052,0.5377841348625951,2.123033477937716,0.1657421711097413,519168.0,1
8,5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.987958808839321,0.640624530366622,2.194487356463505,0.1528469220091938,519168.0,1
9,5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.064152572658495,0.7905086159089114,2.1321824267292686,0.1414615300203149,519168.0,1
10,5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.218859935560031,0.950403143442236,2.140005305348168,0.1284514867696271,519168.0,1
11,5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.376519268499105,1.122012562279124,2.1373715112799254,0.1171351949400559,519168.0,1
12,5.0,250.0,248.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.97401574414107,1.2658674679213435,1.6006355513600283,0.1075127248596982,184320.0,1
13,5.0,250.0,279.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.3452794260700465,1.3782705229130805,1.8714374614565168,0.0955714417004492,294912.0,1
14,6.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.981901150199119,0.3710159495385596,2.392325151990226,0.2185600486703333,1035050.41,1
