test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.096561202832381,0.0319793075515191,2.8538893143606403,0.2106925809202221,3235355.52
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.463366104949964,0.975010257278336,2.2661341831014576,0.2222216645701701,866555.7
4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.7806785347219556,0.0233168895117705,1.5401295023201964,0.2172321428899886,129724.38
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.9167571016482543,0.0494970661104887,2.6569143224982694,0.2103457130394963,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.663843110991293,0.2963418196333802,2.178240638647403,0.189260652710509,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.943271730088163,0.3871787223359568,2.376578452691974,0.1795145550602319,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.019885663018795,0.4722238570515769,2.3778733376272427,0.1697884683399752,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.854314118368784,0.5445978759287393,2.145670679760442,0.1640455626796028,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.9656102316273607,0.675206341225421,2.1399638585819045,0.150440031820035,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.122681140200584,0.8409588935074859,2.1414704210130733,0.1402518256800249,519168.0
