test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
2.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.832375065415981,0.0325702837080461,3.5804251972278145,0.2193795844801206,3235355.52
3.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.518741581827635,0.9689240939507724,2.321588579376694,0.2282289085001684,866555.7
4.0,250.0,3.0,0.5855595238095238,0.79,0.89,0.6109652014652015,0.5855595238095238,0.5557094741849332,1.7781215844501277,0.0229625980049603,1.5345214700048382,0.2206375164403289,129724.38
5.0,250.0,3.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.193372412197641,0.0502049140073359,2.9246098836604504,0.2185576145298546,1968128.0
5.0,250.0,40.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.766005160710192,0.2919592825393189,2.278978496161217,0.1950673820096563,802816.0
5.0,250.0,63.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.9121228676283497,0.3808497046912085,2.346441819336833,0.1848313436003081,903168.0
5.0,250.0,86.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.0020933350757697,0.4691967910469978,2.358046343998504,0.1748502000302687,903168.0
5.0,250.0,100.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.8438585001340835,0.5422967642161529,2.1339497618281165,0.1676119740898138,519168.0
5.0,250.0,132.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,2.956635550307692,0.6655284695164303,2.1352187752010647,0.1558883055901969,519168.0
5.0,250.0,164.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.0798144365032205,0.8046833332686223,2.130054413055477,0.1450766901791212,519168.0
5.0,250.0,196.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.212674860249972,0.9571261201711604,2.1256689644482685,0.129879775630543,519168.0
5.0,250.0,228.0,0.5905595238095238,0.79,0.9,0.6108754578754578,0.5905595238095238,0.5665755886079719,3.3686753352120284,1.125203412050614,2.124373916221375,0.1190980069400393,519168.0
