test_number,image_size,split_layer,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,BLEU,total_time,head_time,network_time,tail_time,nw_payload
1,100,3,0.108845238,0.22,0.26,0.1835,0.108845238,0.06169069,1.257481218,1.257475013,6.20E-06,0,0
1,150,3,0.577119048,0.65,0.84,0.390211039,0.577119048,0.425219841,1.452164759,1.452158603,6.16E-06,0,0
1,200,3,0.586988095,0.68,0.87,0.457308726,0.586988095,0.257689302,1.920791447,1.920784755,6.69E-06,0,0
1,250,3,0.590559524,0.79,0.9,0.610875458,0.590559524,0.436462454,2.470035347,2.470028817,6.53E-06,0,0
1,300,3,0.488119048,0.77,0.83,0.652166667,0.488119048,0.542526183,3.401496,3.401488559,7.44E-06,0,0
1,350,3,0.394595238,0.72,0.73,0.647690476,0.394595238,0.494559083,4.352503983,4.352496949,7.03E-06,0,0
1,400,3,0.385416667,0.73,0.74,0.664333333,0.385416667,0.480426268,5.373159914,5.373151939,7.97E-06,0,0
